#{"t_start": 1762438605.400761, "env_id": "None"}
r,l,t
745.1643,39,24.943646
939.7095,37,37.672431
657.57367,34,50.193608
466.61108,41,63.180589
654.4694,33,75.641664
653.26654,36,88.296133
775.71564,36,100.958986
550.41907,41,113.942831
505.57733,31,126.265602
590.94495,30,138.523439
551.3981,33,150.972847
507.79016,28,163.095152
497.45013,34,175.619234
351.49677,28,187.744771
619.5798,33,200.194568
482.4203,27,212.253788
494.19006,29,224.444571
472.54028,34,236.96615
731.978,36,249.619414
574.2688,34,262.141546
587.00916,34,274.666109
534.2566,38,287.454294
690.10657,33,299.906919
476.90118,35,312.497097
490.07782,26,324.497135
556.27783,35,337.081892
628.8286,32,349.470518
690.9297,37,362.193672
528.77246,34,374.719165
314.5816,33,387.189205
253.72144,26,399.185317
270.41003,34,411.715619
809.07837,33,424.174996
719.7323,34,436.700241
652.21375,29,448.897726
465.3283,34,461.426121
672.5104,35,474.014461
556.78375,30,486.275097
423.7528,27,498.338105
216.54547,34,510.860137
818.2917,35,523.453451
580.0411,35,536.042077
582.1083,28,548.171473
518.9249,29,560.365916
770.22577,39,573.221232
413.29077,28,585.349616
491.09662,32,597.748087
699.4088,35,610.33909
398.42163,35,622.926633
561.862,30,635.188092
737.86395,35,647.775923
602.7747,29,659.970306
656.0355,32,672.363051
555.0266,31,684.69338
729.82404,37,697.419177
