episode,timestep,reward,length,recovered,collision,recovery_time,recovery_rate
1,200,48452.05,200,1,0,171,0.00
2,400,48215.63,200,1,0,171,0.00
3,600,70781.46,200,1,0,171,0.00
4,800,56763.82,200,1,0,171,0.00
5,1000,51796.86,200,1,0,171,0.00
6,1200,51157.25,200,1,0,171,0.00
7,1400,60750.29,200,1,0,171,0.00
8,1600,46850.65,200,1,0,171,0.00
