#{"t_start": 1762437997.2302735, "env_id": "None"}
r,l,t
401.32764,29,24.22578
786.33673,37,36.944937
650.07556,30,49.202318
734.4042,35,61.789325
610.25653,36,74.446459
596.6914,35,87.034113
619.6734,31,99.357871
730.719,41,112.347712
583.8236,32,124.746356
423.87756,25,136.673064
451.40808,37,149.396084
679.9842,33,161.854756
582.9713,32,174.247173
536.9123,31,186.564167
774.2385,37,199.283636
721.89844,37,212.003742
716.40564,42,225.059607
680.61316,39,237.91757
573.5367,32,250.307077
596.1658,35,262.900956
425.25415,35,275.491834
798.0491,40,288.409038
492.6032,38,301.197633
594.33716,37,313.920095
334.32074,37,326.63949
439.78577,41,339.622566
