episode,timestamp,elapsed_time_s,curriculum_level,episode_reward,episode_length,tumble_initiated,tumble_recovered,recovery_steps,disturbance_intensity,disturbance_type,rolling_10_reward,rolling_10_recovery_rate,rolling_50_recovery_rate
1,1762847543.2974818,63.243796825408936,0,15072.910847,600,1,1,3,0.7247620332939035,unknown,15072.910847,0,0
2,1762847595.544827,115.49114203453064,0,17471.172483,600,1,1,6,0.7903791569270371,unknown,16272.041664999999,0,0
3,1762847647.6780338,167.62434887886047,0,13626.428413,600,1,1,3,0.7699737240470058,unknown,15390.170580999998,0,0
4,1762847703.2155032,223.16181826591492,0,15892.714561,600,1,1,6,0.8051401229913505,unknown,15515.806575999999,0,0
5,1762847755.469253,275.415568113327,0,26660.101161,600,1,1,18,0.8326273748565953,unknown,17744.665493,0,0
6,1762847808.4238567,328.3701717853546,0,25457.319849,600,1,1,18,0.7329548327950197,unknown,19030.107885666668,0,0
7,1762847863.5756488,383.5219638347626,0,27618.338428,600,1,1,23,0.7340168512487609,unknown,20256.997963142854,0,0
8,1762847916.0562935,436.00260853767395,0,7458.709189,600,1,1,0,0.7932347845815904,unknown,18657.211866375,0,0
9,1762847968.5224051,488.4687201976776,0,21564.003024,600,1,1,20,0.7756024091699314,unknown,18980.188661666667,0,0
10,1762848020.991605,540.9379200935364,0,16301.168585,600,1,1,7,0.7604396577314372,unknown,18712.286654000003,100.0,0
11,1762848077.128652,597.0749671459198,0,18963.394556,600,1,1,17,0.867740385756669,unknown,19101.3350249,100.0,0
12,1762848128.9513822,648.8976972103119,0,9918.027206,600,1,1,4,0.7600570343726714,unknown,18346.0204972,100.0,0
13,1762848181.1212125,701.0675275325775,0,19747.946812,600,1,1,16,0.7040677329472222,unknown,18958.1723371,100.0,0
