episode,timestamp,elapsed_time_s,curriculum_level,episode_reward,episode_length,tumble_initiated,tumble_recovered,recovery_steps,disturbance_intensity,disturbance_type,rolling_10_reward,rolling_10_recovery_rate,rolling_50_recovery_rate
1,1763269995.1282806,61.57331657409668,0,12139.917238,600,1,1,4,0.8677353519019095,unknown,12139.917238,0,0
2,1763270045.027032,111.47206783294678,0,15032.668913,600,1,1,12,0.8348951913601061,unknown,13586.2930755,0,0
3,1763270095.329575,161.77461099624634,0,10200.173634,600,1,1,7,0.7148786202753267,unknown,12457.586595,0,0
4,1763270148.0378983,214.4829342365265,0,8905.334231,600,1,1,24,0.8800090008667614,unknown,11569.523504,0,0
5,1763270198.3119457,264.75698161125183,0,5874.818276,600,1,1,14,0.8393496953140547,unknown,10430.5824584,0,0
6,1763270249.670296,316.11533188819885,0,6937.155618,600,1,1,11,0.7969662626562313,unknown,9848.344651666666,0,0
7,1763270303.2688928,369.7139286994934,0,7896.760708,600,1,1,4,0.871308652195256,unknown,9569.546945428572,0,0
8,1763270354.016417,420.461452960968,0,2100.38655,600,1,1,0,0.829449464015916,unknown,8635.901896,0,0
9,1763270404.4183784,470.86341428756714,0,15497.678029,600,1,1,16,0.7043990252186821,unknown,9398.321466333333,0,0
10,1763270454.7828162,521.2278521060944,0,18947.605748,600,1,1,18,0.8193225383029192,unknown,10353.2498945,100.0,0
11,1763270506.4847677,572.929803609848,0,-1286.963771,600,1,1,27,0.8629333754300599,unknown,9010.561793600002,100.0,0
12,1763270556.6770916,623.122127532959,0,10781.604323,600,1,1,15,0.8188207054793359,unknown,8585.4553346,100.0,0
13,1763270606.6417415,673.0867774486542,0,23224.17281,600,1,1,18,0.7067759096453714,unknown,9887.855252199999,100.0,0
14,1763270658.9169695,725.3620054721832,0,19277.181775,600,1,1,17,0.8840441548851312,unknown,10925.040006600002,100.0,0
15,1763270708.974095,775.4191310405731,0,18607.879261,600,1,1,18,0.7211321762442697,unknown,12198.346105100001,100.0,0
16,1763270759.1682572,825.613293170929,0,6226.745131,600,1,1,3,0.7687542576209127,unknown,12127.3050564,100.0,0
17,1763270809.3109908,875.7560267448425,0,3749.239861,600,1,1,18,0.8155337435196802,unknown,11712.552971699999,100.0,0
18,1763270861.6490757,928.0941116809845,0,4776.751772,600,1,1,3,0.8513108196103651,unknown,11980.1894939,100.0,0
19,1763270911.7331338,978.1781697273254,0,21433.847009,600,1,1,18,0.7015510303504728,unknown,12573.806391900001,100.0,0
20,1763270962.048242,1028.4932780265808,0,11136.639925,600,1,1,8,0.8209475672541872,unknown,11792.709809599999,100.0,0
21,1763271014.8039987,1081.2490346431732,0,22997.203536,600,1,1,21,0.8208797504702475,unknown,14221.1265403,100.0,0
22,1763271066.0276093,1132.4726452827454,0,6543.977285,600,1,1,4,0.8583239624765896,unknown,13797.363836499999,100.0,0
23,1763271116.048691,1182.4937269687653,0,16336.696931,600,1,1,15,0.7466353557937406,unknown,13108.616248600001,100.0,0
24,1763271167.6747031,1234.1197390556335,0,7568.655233,600,1,1,23,0.8374649604758052,unknown,11937.7635944,100.0,0
25,1763271217.7077758,1284.1528117656708,0,19273.188485,600,1,1,17,0.8983502684375224,unknown,12004.294516799997,100.0,0
