episode,timestep,reward,length,recovered,collision,recovery_time,recovery_rate
1,1,-295.50,1,0,1,0,0.00
2,2,-295.50,1,0,1,0,0.00
3,3,-300.56,1,0,1,0,0.00
4,4,-295.50,1,0,1,0,0.00
5,5,-295.50,1,0,1,0,0.00
6,6,-295.50,1,0,1,0,0.00
7,7,-295.50,1,0,1,0,0.00
8,8,-295.50,1,0,1,0,0.00
9,9,-295.50,1,0,1,0,0.00
